RAJ2000;DEJ2000;e_RAJ2000;e_DEJ2000;Jmag;Hmag;Ksmag
266.23833134026796;-28.96100295525926;0.0001;0.0001;12.412191454890548;12.435515124559116;11.068478774548376
266.23787972459235;-28.961459901474043;0.0001;0.0001;13.271800718702712;11.064395869875849;11.617170982712649
266.24802510083225;-28.9712175120588;0.0005;0.0005;17.085271851577012;15.13354888645001;15.306729742706082
266.24019092876136;-28.96129831584808;0.0001;0.0001;13.39966814954583;12.322335734655862;10.573645695934164
266.2397509346083;-28.96173540410732;0.0001;0.0001;12.851735388399838;12.57637434720293;11.117353834813256
266.2498661304718;-28.971507978120787;0.0005;0.0005;16.642637799012856;16.691065993125136;14.37380749785343
266.2422017719233;-28.96060029968007;0.0001;0.0001;12.47319962341104;12.833664665877658;11.87759620170845
266.2417492122967;-28.96105885725865;0.0001;0.0001;13.004432670645574;11.627337900104255;10.571009305856606
266.2519658738284;-28.97082179462621;0.0005;0.0005;16.476499811424823;16.61558217258031;15.789956575772024
266.24519947965246;-28.96180120009615;0.0001;0.0001;13.961164397188575;12.07900964510747;11.439464042564785
266.2447499369275;-28.962252066623034;0.0001;0.0001;13.976657069244775;11.750371054965596;10.645557237958291
266.25505403870136;-28.97200444574774;0.0005;0.0005;16.68366122713003;16.597845466430027;15.597692662426123
266.25019725122456;-28.958814160822524;0.0001;0.0001;13.43120255030861;11.821039570827855;10.786510433055632
266.2497508179626;-28.959247463403425;0.0001;0.0001;13.7309197030458;11.050484715599287;10.900358722186702
266.2599238705755;-28.968999635484504;0.0005;0.0005;17.986066522189585;15.472924792396057;14.748584364690895
266.2571401191491;-28.953945541338946;0.0003;0.0003;13.464959571208471;12.60122027100641;12.268884535798879
266.25781234781454;-28.951377232390232;0.0003;0.0003;13.011885687447059;12.73143825185473;12.06777196339659
266.2566201583705;-28.949025668916395;0.0003;0.0003;13.586304937254358;13.264100989603456;11.052393210501688
