RAJ2000;DEJ2000;e_RAJ2000;e_DEJ2000;Jmag;Hmag;Ksmag
266.23832295657854;-28.961002493900832;0.0001;0.0001;12.665160539435353;12.907394238583306;11.486722609724708
266.23788728178806;-28.961449451649898;0.0001;0.0001;12.408608235696866;11.941377496893086;11.713445809067677
266.24810513441497;-28.971276964714768;0.0005;0.0005;17.888731079237182;15.982380961949167;14.540352534860668
266.24018801881203;-28.961305779522526;0.0001;0.0001;12.842400114340025;11.43607087909895;11.768628760954392
266.2397324459816;-28.96175348607515;0.0001;0.0001;13.865783296282963;11.628702707258393;11.864571993065008
266.2497180531637;-28.97158143637335;0.0005;0.0005;16.072646688703962;15.081366380982763;14.665507234123883
266.2422014242559;-28.960594587687027;0.0001;0.0001;12.737749683361853;12.223954078109811;10.80919730442784
266.24174567110515;-28.961060492571086;0.0001;0.0001;13.726706703080863;12.018803454700448;10.945352274085284
266.25199663107685;-28.970782024843423;0.0005;0.0005;17.31184620577695;15.811306396902456;14.514696211481143
266.2451979904827;-28.961803547814586;0.0001;0.0001;12.54295970701949;11.797278159366279;10.777329046537963
266.2447404241816;-28.962229435326588;0.0001;0.0001;12.847036097953186;11.74398356584856;11.80247206525867
266.25501874673597;-28.972178067254095;0.0005;0.0005;16.218176394528633;15.186854137522152;15.674932216867418
266.2502174404109;-28.958809677443956;0.0001;0.0001;13.886401116954305;11.490261183122925;10.519739746936292
266.2497493850143;-28.959242008095273;0.0001;0.0001;12.750218296195037;12.085720849354809;11.788375256372161
266.2598787731037;-28.96893092227271;0.0005;0.0005;17.549160409041146;15.26922699467294;14.331119941457425
266.2611268228281;-28.95261216593857;0.0003;0.0003;14.409557095111062;12.699037054783913;11.55484792001477
266.26498918405974;-28.954593838754416;0.0003;0.0003;14.291645043366223;12.077399170024488;12.520420515838008
266.257300899575;-28.954101681329277;0.0003;0.0003;14.296899423818095;13.465202434585857;12.356190629837688
